filename,sample,co2,ppm,Land_Management,Treatment,date,Rep,sample_day,mass_CO2,mass_C,C_rate,C_rate_mg,cum_C,mg_cum_C
141020_44,12ConPTHRep1_unk-0002_10202014_10.qgd,44,290.34255055716056,PTH,12C,2014-10-20,1,0,1.2730433746334062e-4,3.4743294643766975e-5,0,0,3.4743294643766975e-5,0.03474329464376698
141020_44,13CelPTHRep1_unk-0003_10202014_11.qgd,44,402.3937267849773,PTH,13C,2014-10-20,1,0,0.00017643458283831851,4.815168767259813e-5,0,0,4.815168767259813e-5,0.048151687672598135
141020_44,13XylPTHRep1_unk-0004_10202014_12.qgd,44,455.5647269225478,PTH,13X,2014-10-20,1,0,1.997480755791767e-4,5.451429529155854e-5,0,0,5.451429529155854e-5,0.05451429529155854
141020_44,H2OPTHRep1_unk-0005_10202014_13.qgd,44,476.47544366487824,PTH,H2O,2014-10-20,1,0,2.0891664193521925e-4,5.701653683898928e-5,0,0,5.701653683898928e-5,0.05701653683898928
141020_44,12ConPTHRep2_unk-0006_10202014_14.qgd,44,1266.13014169762,PTH,12C,2014-10-20,2,0,5.554707225779418e-4,1.5159642919526604e-4,0,0,1.5159642919526604e-4,0.15159642919526603
141020_44,13CelPTHRep2_unk-0007_10202014_15.qgd,44,1174.5769706974825,PTH,13C,2014-10-20,2,0,5.153049415299037e-4,1.4063457515827476e-4,0,0,1.4063457515827476e-4,0.14063457515827477
141020_44,13XylPTHRep2_unk-0008_10202014_16.qgd,44,684.0005502820195,PTH,13X,2014-10-20,2,0,3.000815377473273e-4,8.189682685487725e-5,0,0,8.189682685487725e-5,0.08189682685487726
141020_44,H2OPTHRep2_unk-0009_10202014_17.qgd,44,1032.8793506672168,PTH,H2O,2014-10-20,2,0,4.5314002120010714e-4,1.2366882060064728e-4,0,0,1.2366882060064728e-4,0.12366882060064728
141020_44,12ConPTHRep3_unk-0010_10202014_18.qgd,44,357.4081716879901,PTH,12C,2014-10-20,3,0,1.565358581946382e-4,4.2721022330738454e-5,0,0,4.2721022330738454e-5,0.042721022330738455
141020_44,13CelPTHRep3_unk-0011_10202014_19.qgd,44,362.0167836015958,PTH,13C,2014-10-20,3,0,1.5855431518059678e-4,4.327189001668139e-5,0,0,4.327189001668139e-5,0.04327189001668139
141020_44,13XylPTHRep3_unk-0012_10202014_20.qgd,44,348.74122988031365,PTH,13X,2014-10-20,3,0,1.5273995401208923e-4,4.168506220493533e-5,0,0,4.168506220493533e-5,0.041685062204935334
141020_44,H2OPTHRep3_unk-0013_10202014_21.qgd,44,366.7629660200853,PTH,H2O,2014-10-20,3,0,1.6063302461389738e-4,4.3839201514145e-5,0,0,4.3839201514145e-5,0.043839201514145006
141020_44,12ConPTHRep4_unk-0014_10202014_22.qgd,44,510.592928876049,PTH,12C,2014-10-20,4,0,2.2362695831000756e-4,6.1031206459020696e-5,0,0,6.1031206459020696e-5,0.061031206459020694
141020_44,13CelPTHRep4_unk-0015_10202014_23.qgd,44,513.0691979639565,PTH,13C,2014-10-20,4,0,2.2471150236216442e-4,6.132719506639303e-5,0,0,6.132719506639303e-5,0.06132719506639303
141020_44,13XylPTHRep4_unk-0016_10202014_24.qgd,44,539.9642316687302,PTH,13X,2014-10-20,4,0,2.3649085581753463e-4,6.454196021868686e-5,0,0,6.454196021868686e-5,0.06454196021868686
141020_44,H2OPTHRep4_unk-0017_10202014_25.qgd,44,430.1829687714954,PTH,H2O,2014-10-20,4,0,1.8840940283858107e-4,5.141979862518058e-5,0,0,5.141979862518058e-5,0.05141979862518058
141020_44,12ConNTHRep1_unk-0018_10202014_26.qgd,44,390.9065896271839,NTH,12C,2014-10-20,1,0,1.7116497930651142e-4,4.671353252557393e-5,0,0,4.671353252557393e-5,0.04671353252557393
141020_44,13CelNTHRep1_unk-0019_10202014_27.qgd,44,379.9009492364837,NTH,13C,2014-10-20,1,0,1.6634597584196068e-4,4.539835300699364e-5,0,0,4.539835300699364e-5,0.04539835300699364
141020_44,13XylNTHRep1_unk-0020_10202014_28.qgd,44,577.0394827349016,NTH,13X,2014-10-20,1,0,2.526663754007257e-4,6.895650613356321e-5,0,0,6.895650613356321e-5,0.06895650613356322
141020_44,H2ONTHRep1_unk-0021_10202014_29.qgd,44,495.5977438437199,NTH,H2O,2014-10-20,1,0,2.170057497630503e-4,5.922417769606901e-5,0,0,5.922417769606901e-5,0.05922417769606901
141020_44,12ConNTHRep2_unk-0022_10202014_30.qgd,44,872.8160682349704,NTH,12C,2014-10-20,2,0,3.8176733935580044e-4,1.041901275392529e-4,0,0,1.041901275392529e-4,0.1041901275392529
